
Начало измерений 05:11:55 19.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;48.8689;48.8689;48.8689;9.85958;9.85958;9.85958;16.5416;12.7104;5;
0.416;97.7379;97.7379;97.7379;16.5087;16.5087;16.5087;21.2283;30.3635;5;
0.448;148.828;148.828;148.828;23.2329;23.2329;23.2329;94.8507;30.3906;5;
0.48;202.14;202.14;202.14;32.0761;32.0761;32.0761;96.5489;13.0301;5;
0.512;219.91;219.91;219.91;9.22763;9.22763;9.22763;169.076;12.0117;5;
0.544;219.91;219.91;219.91;3.05349;3.05349;3.05349;149.949;5.19998;5;
0.576;219.91;219.91;219.91;3.67356;3.67356;3.67356;156.673;-4.32296;5;
0.608;219.91;219.91;219.91;3.24842;3.24842;3.24842;158.284;0.0651883;5;
0.64;219.91;219.91;219.91;3.09761;3.09761;3.09761;156.612;0.841076;5;
0.672;219.91;219.91;219.91;3.1704;3.1704;3.1704;156.702;-0.213649;5;
0.704;219.91;219.91;219.91;3.17995;3.17995;3.17995;157.01;-0.114634;5;
0.736;219.91;219.91;219.91;3.16164;3.16164;3.16164;156.919;0.0695167;5;
0.768;219.91;219.91;219.91;3.16392;3.16392;3.16392;156.88;0.00594436;5;
0.8;219.91;219.91;219.91;3.16695;3.16695;3.16695;156.907;-0.0151034;5;
0.832;219.91;219.91;219.91;3.16576;3.16576;3.16576;156.908;0.00243895;5;
0.864;219.91;219.91;219.91;3.16545;3.16545;3.16545;156.902;0.00239039;5;
0.896;219.91;219.91;219.91;3.16576;3.16576;3.16576;156.904;-0.00105134;5;
0.928;219.91;219.91;219.91;3.16574;3.16574;3.16574;156.904;-0.000219334;5;
0.96;219.91;219.91;219.91;3.52369;3.52369;3.52369;155.844;6.18054;5;
0.992;219.91;219.91;219.91;4.35043;4.35043;4.35043;153.037;11.4737;5;
1.024;219.91;219.91;219.91;4.9326;4.9326;4.9326;151.176;13.9564;5;
1.056;219.91;219.91;219.91;4.93585;4.93585;4.93585;150.758;13.7072;5;
1.088;219.91;219.91;219.91;5.27811;5.27811;5.27811;150.485;15.105;5;
1.12;219.91;219.91;219.91;5.59783;5.59783;5.59783;149.721;16.4671;5;
1.152;219.91;219.91;219.91;5.79866;5.79866;5.79866;149.186;17.2081;5;
1.184;219.91;219.91;219.91;6.04286;6.04286;6.04286;148.739;18.106;5;
1.216;219.91;219.91;219.91;6.19395;6.19395;6.19395;148.353;18.6505;5;
1.248;219.91;219.91;219.91;6.15758;6.15758;6.15758;148.312;18.4668;5;
1.28;219.91;219.91;219.91;6.36649;6.36649;6.36649;148.086;19.2417;5;
1.312;219.91;219.91;219.91;6.53894;6.53894;6.53894;147.664;19.882;5;
1.344;219.91;219.91;219.91;6.70608;6.70608;6.70608;147.312;20.4509;5;
1.376;219.91;219.91;219.91;6.67197;6.67197;6.67197;147.259;20.2916;5;
1.408;219.91;219.91;219.91;6.67593;6.67593;6.67593;147.308;20.2872;5;
1.44;219.91;219.91;219.91;6.67998;6.67998;6.67998;147.297;20.3097;5;
1.472;219.91;219.91;219.91;6.67822;6.67822;6.67822;147.295;20.3028;5;
1.504;219.91;219.91;219.91;6.67831;6.67831;6.67831;147.297;20.3023;5;
1.536;219.91;219.91;219.91;6.6785;6.6785;6.6785;147.297;20.3033;5;
1.568;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.296;20.303;5;
1.6;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.632;219.91;219.91;219.91;6.67844;6.67844;6.67844;147.297;20.303;5;
1.664;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.696;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.728;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.76;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.792;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.824;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.856;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.888;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.92;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.952;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.984;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.016;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.048;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.08;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.112;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.144;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.176;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.208;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.24;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.272;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.304;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.336;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.368;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.4;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.432;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.464;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.496;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.528;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.56;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.592;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.624;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.656;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.688;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
