
Начало измерений 01:53:22 18.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;0;0;0;0;0;0;0;0;5;
0.416;0;0;0;0;0;0;0;0;5;
0.448;0;0;0;0;0;0;0;0;5;
0.48;0;0;0;0;0;0;0;0;5;
0.512;0;0;0;0;0;0;0;0;5;
0.544;0;0;0;0;0;0;0;0;5;
0.576;0;0;0;0;0;0;0;0;5;
0.608;0;0;0;0;0;0;0;0;5;
0.64;0;0;0;0;0;0;0;0;5;
0.672;0;0;0;0;0;0;0;0;5;
0.704;0;0;0;0;0;0;0;0;5;
0.736;0;0;0;0;0;0;0;0;5;
0.768;15.5492;15.5492;15.5492;3.86469;3.86469;3.86469;0.786306;0.848564;5;
0.8;91.0739;91.0739;91.0739;9.09117;9.09117;9.09117;58.2814;16.2644;5;
0.832;186.59;186.59;186.59;33.0022;33.0022;33.0022;64.6421;-23.4243;5;
0.864;219.91;219.91;219.91;18.8001;18.8001;18.8001;155.757;35.2153;5;
0.896;219.91;219.91;219.91;4.09241;4.09241;4.09241;148.875;-4.24794;5;
0.928;219.91;219.91;219.91;3.87358;3.87358;3.87358;159.792;-4.39107;5;
0.96;219.91;219.91;219.91;3.12445;3.12445;3.12445;157.659;1.98906;5;
0.992;219.91;219.91;219.91;3.09962;3.09962;3.09962;156.147;0.379938;5;
1.024;219.91;219.91;219.91;3.2042;3.2042;3.2042;156.935;-0.479808;5;
1.056;219.91;219.91;219.91;3.17097;3.17097;3.17097;157.046;0.039692;5;
1.088;219.91;219.91;219.91;3.15749;3.15749;3.15749;156.864;0.0849974;5;
1.12;219.91;219.91;219.91;3.16669;3.16669;3.16669;156.886;-0.0281166;5;
1.152;219.91;219.91;219.91;3.16711;3.16711;3.16711;156.916;-0.0100158;5;
1.184;219.91;219.91;219.91;3.16518;3.16518;3.16518;156.905;0.00792922;5;
1.216;219.91;219.91;219.91;3.16556;3.16556;3.16556;156.901;7.67506e-05;5;
1.248;219.91;219.91;219.91;3.16584;3.16584;3.16584;156.905;-0.00157926;5;
1.28;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;0.000362284;5;
1.312;219.91;219.91;219.91;3.16568;3.16568;3.16568;156.904;0.000224315;5;
1.344;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-0.000124923;5;
1.376;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.43058e-05;5;
1.408;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;2.80108e-05;5;
1.44;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.87749e-06;5;
1.472;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.58756e-06;5;
1.504;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.8596e-06;5;
1.536;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.58714e-07;5;
1.568;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.75696e-07;5;
1.6;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.33752e-08;5;
1.632;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;8.80591e-08;5;
1.664;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.56433e-08;5;
1.696;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.12053e-08;5;
1.728;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;7.72543e-09;5;
1.76;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.56793e-10;5;
1.792;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.60783e-09;5;
1.824;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.14385e-10;5;
1.856;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.44364e-10;5;
1.888;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.178e-10;5;
1.92;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.16822e-11;5;
1.952;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.63636e-11;5;
1.984;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.80778e-12;5;
2.016;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.23876e-12;5;
2.048;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.49629e-12;5;
2.08;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.37346e-12;5;
2.112;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.70945e-12;5;
2.144;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.67305e-12;5;
2.176;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;7.17851e-12;5;
2.208;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.85051e-12;5;
2.24;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.63675e-12;5;
2.272;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.81417e-12;5;
2.304;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.14267e-12;5;
2.336;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;7.25989e-12;5;
2.368;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.90694e-12;5;
2.4;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.64619e-12;5;
2.432;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.43364e-12;5;
2.464;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.51318e-12;5;
2.496;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;7.43983e-12;5;
2.528;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;5.12762e-12;5;
2.56;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.06308e-12;5;
2.592;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.33583e-12;5;
2.624;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.06681e-12;5;
2.656;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;7.27093e-12;5;
2.688;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;5.14266e-12;5;
2.72;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.49384e-12;5;
2.752;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.40697e-12;5;
