
Начало измерений 02:03:42 16.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;0;0;0;0;0;0;0;0;5;
0.416;0;0;0;0;0;0;0;0;5;
0.448;0;0;0;0;0;0;0;0;5;
0.48;0;0;0;0;0;0;0;0;5;
0.512;0;0;0;0;0;0;0;0;5;
0.544;0;0;0;0;0;0;0;0;5;
0.576;0;0;0;0;0;0;0;0;5;
0.608;0;0;0;0;0;0;0;0;5;
0.64;0;0;0;0;0;0;0;0;5;
0.672;0;0;0;0;0;0;0;0;5;
0.704;0;0;0;0;0;0;0;0;5;
0.736;0;0;0;0;0;0;0;0;5;
0.768;0;0;0;0;0;0;0;0;5;
0.8;0;0;0;0;0;0;0;0;5;
0.832;0;0;0;0;0;0;0;0;5;
0.864;0;0;0;0;0;0;0;0;5;
0.896;0;0;0;0;0;0;0;0;5;
0.928;0;0;0;0;0;0;0;0;5;
0.96;0;0;0;0;0;0;0;0;5;
0.992;0;0;0;0;0;0;0;0;5;
1.024;0;0;0;0;0;0;0;0;5;
1.056;2.22132;2.22132;2.22132;0.55931;0.55931;0.55931;0.00240868;0.00270785;5;
1.088;48.8689;48.8689;48.8689;9.59904;9.59904;9.59904;18.4254;11.9058;5;
1.12;73.3034;73.3034;73.3034;3.81975;3.81975;3.81975;58.0594;-0.0595687;5;
1.152;77.746;77.746;77.746;9.05284;9.05284;9.05284;79.7926;-8.95369;5;
1.184;86.6313;86.6313;86.6313;15.3357;15.3357;15.3357;63.541;-17.324;5;
1.216;104.402;104.402;104.402;6.47437;6.47437;6.47437;54.4207;1.86366;5;
1.248;122.172;122.172;122.172;6.66167;6.66167;6.66167;113.924;-4.9893;5;
1.28;126.615;126.615;126.615;14.3257;14.3257;14.3257;82.59;-36.7316;5;
1.312;128.836;128.836;128.836;18.2388;18.2388;18.2388;61.6556;-5.20206;5;
1.344;142.164;142.164;142.164;10.5084;10.5084;10.5084;91.3136;0.776901;5;
1.376;155.492;155.492;155.492;9.5135;9.5135;9.5135;115.561;-24.0076;5;
1.408;164.377;164.377;164.377;31.6303;31.6303;31.6303;62.4693;-14.0383;5;
1.44;166.599;166.599;166.599;14.2388;14.2388;14.2388;111.007;36.2956;5;
1.472;166.599;166.599;166.599;5.84299;5.84299;5.84299;105.87;-11.3609;5;
1.504;166.599;166.599;166.599;4.68729;4.68729;4.68729;129.246;-4.09898;5;
1.536;166.599;166.599;166.599;2.93092;2.93092;2.93092;116.707;8.17385;5;
1.568;166.599;166.599;166.599;3.66505;3.66505;3.66505;116.067;-3.80936;5;
1.6;166.599;166.599;166.599;3.46134;3.46134;3.46134;121.633;-0.950569;5;
1.632;166.599;166.599;166.599;2.90296;2.90296;2.90296;118.241;2.25893;5;
1.664;166.599;166.599;166.599;3.27711;3.27711;3.27711;118.152;-1.09192;5;
1.696;166.599;166.599;166.599;3.23673;3.23673;3.23673;119.637;-0.235899;5;
1.728;166.599;166.599;166.599;3.08044;3.08044;3.08044;118.695;0.618429;5;
1.76;166.599;166.599;166.599;3.19388;3.19388;3.19388;118.691;-0.308564;5;
1.792;166.599;166.599;166.599;3.1829;3.1829;3.1829;119.091;-0.0576655;5;
1.824;166.599;166.599;166.599;3.14049;3.14049;3.14049;118.829;0.168434;5;
1.856;166.599;166.599;166.599;3.17258;3.17258;3.17258;118.833;-0.0868133;5;
1.888;168.82;168.82;168.82;8.41384;8.41384;8.41384;129.612;27.1066;5;
1.92;173.263;173.263;173.263;10.4703;10.4703;10.4703;123.349;32.988;5;
1.952;179.927;179.927;179.927;7.01617;7.01617;7.01617;130.942;23.9936;5;
1.984;186.59;186.59;186.59;3.59834;3.59834;3.59834;134.19;9.7068;5;
2.016;191.033;191.033;191.033;3.37959;3.37959;3.37959;133.11;-2.67949;5;
2.048;199.918;199.918;199.918;5.94947;5.94947;5.94947;136.294;-14.5257;5;
2.08;206.582;206.582;206.582;6.17315;6.17315;6.17315;142.995;-13.9416;5;
2.112;211.025;211.025;211.025;5.59048;5.59048;5.59048;144.53;-11.3614;5;
2.144;219.91;219.91;219.91;11.5353;11.5353;11.5353;153.927;28.1236;5;
2.176;219.91;219.91;219.91;3.57373;3.57373;3.57373;151.172;-2.65946;5;
2.208;219.91;219.91;219.91;3.6366;3.6366;3.6366;158.821;-3.27169;5;
2.24;219.91;219.91;219.91;3.13264;3.13264;3.13264;157.522;1.33161;5;
2.272;219.91;219.91;219.91;3.115;3.115;3.115;156.375;0.322795;5;
2.304;219.91;219.91;219.91;3.1913;3.1913;3.1913;156.908;-0.337949;5;
2.336;219.91;219.91;219.91;3.17035;3.17035;3.17035;157.007;0.0170966;5;
2.368;219.91;219.91;219.91;3.15987;3.15987;3.15987;156.878;0.0624634;5;
2.4;219.91;219.91;219.91;3.16621;3.16621;3.16621;156.89;-0.0182892;5;
2.432;219.91;219.91;219.91;3.16674;3.16674;3.16674;156.912;-0.0079269;5;
2.464;219.91;219.91;219.91;3.16536;3.16536;3.16536;156.905;0.00549504;5;
2.496;219.91;219.91;219.91;3.16558;3.16558;3.16558;156.902;0.00024728;5;
2.528;219.91;219.91;219.91;3.1658;3.1658;3.1658;156.904;-0.00114083;5;
2.56;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;0.000223943;5;
2.592;219.91;219.91;219.91;3.16569;3.16569;3.16569;156.904;0.000171066;5;
2.624;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-8.49644e-05;5;
2.656;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.3372e-05;5;
2.688;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;1.99215e-05;5;
2.72;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.12821e-06;5;
2.752;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.41314e-06;5;
2.784;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.23459e-06;5;
2.816;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.7688e-07;5;
2.848;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.331e-07;5;
2.88;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;5.40718e-09;5;
2.912;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.42802e-08;5;
2.944;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.64271e-08;5;
