
Начало измерений 02:03:42 16.01.2024

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;
57;28.8431;60.8764;117.726;60.2721;117.726;90.7944;117.726;117.726;90.7944;63.8629;60.2721;85.3725;85.3725;47.6862;47.6862;66.5293;57.1078;
58;28.8995;61.0287;118.207;60.4967;118.207;91.1554;118.207;118.207;91.1554;64.1036;60.4967;85.5981;85.5981;47.7991;47.7991;66.6986;57.2488;
59;28.9532;61.1737;118.67;60.7125;118.67;91.5022;118.67;118.67;91.5022;64.3348;60.7125;85.8128;85.8128;47.9064;47.9064;66.8596;57.383;
60;29.0043;61.3115;119.114;60.9198;119.114;91.8354;119.114;119.114;91.8354;64.5569;60.9198;86.017;86.017;48.0085;48.0085;67.0128;57.5106;
61;29.0528;61.4426;119.541;61.119;119.541;92.1555;119.541;119.541;92.1555;64.7703;61.119;86.2113;86.2113;48.1056;48.1056;67.1585;57.6321;
62;29.099;61.5673;119.951;61.3104;119.951;92.4631;119.951;119.951;92.4631;64.9754;61.3104;86.3961;86.3961;48.198;48.198;67.297;57.7475;
63;29.143;61.686;120.345;61.4943;120.345;92.7586;120.345;120.345;92.7586;65.1724;61.4943;86.5718;86.5718;48.2859;48.2859;67.4289;57.8574;
64;29.1848;61.7988;120.723;61.6709;120.723;93.0426;120.723;120.723;93.0426;65.3617;61.6709;86.739;86.739;48.3695;48.3695;67.5543;57.9619;
65;29.2245;61.9062;121.087;61.8407;121.087;93.3154;121.087;121.087;93.3154;65.5436;61.8407;86.8981;86.8981;48.449;48.449;67.6735;58.0613;
66;29.2623;62.0083;121.437;62.0038;121.437;93.5775;121.437;121.437;93.5775;65.7183;62.0038;87.0493;87.0493;48.5247;48.5247;67.787;58.1558;
67;29.2983;62.1054;121.772;62.1605;121.772;93.8293;121.772;121.772;93.8293;65.8862;62.1605;87.1933;87.1933;48.5966;48.5966;67.8949;58.2458;
68;29.3325;62.1978;122.095;62.311;122.095;94.0713;122.095;122.095;94.0713;66.0475;62.311;87.3301;87.3301;48.6651;48.6651;67.9976;58.3313;
69;29.3651;62.2857;122.405;62.4557;122.405;94.3037;122.405;122.405;94.3037;66.2025;62.4557;87.4603;87.4603;48.7302;48.7302;68.0953;58.4127;
70;29.3961;62.3693;122.703;62.5946;122.703;94.5271;122.703;122.703;94.5271;66.3514;62.5946;87.5842;87.5842;48.7921;48.7921;68.1882;58.4901;
71;29.4255;62.4489;122.989;62.7282;122.989;94.7417;122.989;122.989;94.7417;66.4945;62.7282;87.702;87.702;48.851;48.851;68.2765;58.5638;
