
Начало измерений 04:17:47 19.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;0;0;0;0;0;0;0;0;5;
0.416;0;0;0;0;0;0;0;0;5;
0.448;0;0;0;0;0;0;0;0;5;
0.48;0;0;0;0;0;0;0;0;5;
0.512;0;0;0;0;0;0;0;0;5;
0.544;0;0;0;0;0;0;0;0;5;
0.576;0;0;0;0;0;0;0;0;5;
0.608;0;0;0;0;0;0;0;0;5;
0.64;0;0;0;0;0;0;0;0;5;
0.672;0;0;0;0;0;0;0;0;5;
0.704;0;0;0;0;0;0;0;0;5;
0.736;0;0;0;0;0;0;0;0;5;
0.768;0;0;0;0;0;0;0;0;5;
0.8;0;0;0;0;0;0;0;0;5;
0.832;0;0;0;0;0;0;0;0;5;
0.864;0;0;0;0;0;0;0;0;5;
0.896;0;0;0;0;0;0;0;0;5;
0.928;0;0;0;0;0;0;0;0;5;
0.96;0;0;0;0;0;0;0;0;5;
0.992;0;0;0;0;0;0;0;0;5;
1.024;0;0;0;0;0;0;0;0;5;
1.056;0;0;0;0;0;0;0;0;5;
1.088;0;0;0;0;0;0;0;0;5;
1.12;4.44263;4.44263;4.44263;1.11783;1.11783;1.11783;0.0192091;0.0215394;5;
1.152;28.8771;28.8771;28.8771;6.56586;6.56586;6.56586;8.15535;4.56674;5;
1.184;57.7542;57.7542;57.7542;12.7289;12.7289;12.7289;14.1244;28.7833;5;
1.216;106.623;106.623;106.623;17.6403;17.6403;17.6403;70.6742;7.33594;5;
1.248;157.713;157.713;157.713;6.8464;6.8464;6.8464;117.803;-5.82142;5;
1.28;195.476;195.476;195.476;32.3944;32.3944;32.3944;20.3;-51.7339;5;
1.312;217.689;217.689;217.689;29.0544;29.0544;29.0544;12.2313;-29.167;5;
1.344;219.91;219.91;219.91;25.4766;25.4766;25.4766;-15.5622;61.4594;5;
1.376;219.91;219.91;219.91;26.1485;26.1485;26.1485;60.9015;1.99384;5;
1.408;219.91;219.91;219.91;25.6129;25.6129;25.6129;107.428;19.9286;5;
1.44;219.91;219.91;219.91;6.3058;6.3058;6.3058;166.802;-1.67384;5;
1.472;219.91;219.91;219.91;3.21374;3.21374;3.21374;154.79;6.19326;5;
1.504;219.91;219.91;219.91;3.23858;3.23858;3.23858;155.415;-1.48213;5;
1.536;219.91;219.91;219.91;3.2775;3.2775;3.2775;157.658;-0.847001;5;
1.568;219.91;219.91;219.91;3.13972;3.13972;3.13972;157.015;0.49848;5;
1.6;219.91;219.91;219.91;3.15265;3.15265;3.15265;156.729;0.0470924;5;
1.632;219.91;219.91;219.91;3.17473;3.17473;3.17473;156.924;-0.109269;5;
1.664;219.91;219.91;219.91;3.16619;3.16619;3.16619;156.934;0.0168366;5;
1.696;219.91;219.91;219.91;3.16385;3.16385;3.16385;156.893;0.017487;5;
1.728;219.91;219.91;219.91;3.16606;3.16606;3.16606;156.901;-0.00749254;5;
1.76;219.91;219.91;219.91;3.16599;3.16599;3.16599;156.907;-0.00165212;5;
1.792;219.91;219.91;219.91;3.16557;3.16557;3.16557;156.904;0.00186981;5;
1.824;219.91;219.91;219.91;3.26386;3.26386;3.26386;156.338;3.47261;5;
1.856;219.91;219.91;219.91;4.07726;4.07726;4.07726;154.114;9.95261;5;
1.888;219.91;219.91;219.91;4.7048;4.7048;4.7048;151.74;13.0504;5;
1.92;219.91;219.91;219.91;4.57508;4.57508;4.57508;151.37;12.0763;5;
1.952;219.91;219.91;219.91;4.58955;4.58955;4.58955;151.728;11.9734;5;
1.984;219.91;219.91;219.91;4.77657;4.77657;4.77657;151.471;12.9514;5;
2.016;219.91;219.91;219.91;4.9026;4.9026;4.9026;151.063;13.5456;5;
2.048;219.91;219.91;219.91;5.12249;5.12249;5.12249;150.679;14.4821;5;
2.08;219.91;219.91;219.91;5.2551;5.2551;5.2551;150.304;15.0334;5;
2.112;219.91;219.91;219.91;5.40098;5.40098;5.40098;150.021;15.6099;5;
2.144;219.91;219.91;219.91;5.46276;5.46276;5.46276;149.823;15.8433;5;
2.176;219.91;219.91;219.91;5.53901;5.53901;5.53901;149.691;16.1337;5;
2.208;219.91;219.91;219.91;5.61858;5.61858;5.61858;149.527;16.4508;5;
2.24;219.91;219.91;219.91;5.69572;5.69572;5.69572;149.362;16.7506;5;
2.272;219.91;219.91;219.91;5.77431;5.77431;5.77431;149.201;17.052;5;
2.304;219.91;219.91;219.91;5.75715;5.75715;5.75715;149.164;16.9672;5;
2.336;219.91;219.91;219.91;5.85492;5.85492;5.85492;149.066;17.3468;5;
2.368;219.91;219.91;219.91;5.93694;5.93694;5.93694;148.865;17.673;5;
2.4;219.91;219.91;219.91;6.01446;6.01446;6.01446;148.7;17.9568;5;
2.432;219.91;219.91;219.91;6.0973;6.0973;6.0973;148.535;18.2622;5;
2.464;219.91;219.91;219.91;6.18023;6.18023;6.18023;148.363;18.5664;5;
2.496;219.91;219.91;219.91;6.16225;6.16225;6.16225;148.329;18.4808;5;
2.528;219.91;219.91;219.91;6.26497;6.26497;6.26497;148.22;18.8621;5;
2.56;219.91;219.91;219.91;6.35039;6.35039;6.35039;148.012;19.1844;5;
2.592;219.91;219.91;219.91;6.32907;6.32907;6.32907;147.983;19.0828;5;
2.624;219.91;219.91;219.91;6.33154;6.33154;6.33154;148.015;19.0807;5;
2.656;219.91;219.91;219.91;6.43711;6.43711;6.43711;147.864;19.4821;5;
2.688;219.91;219.91;219.91;6.41647;6.41647;6.41647;147.803;19.3986;5;
2.72;219.91;219.91;219.91;6.41577;6.41577;6.41577;147.838;19.3804;5;
2.752;219.91;219.91;219.91;6.41917;6.41917;6.41917;147.834;19.3978;5;
2.784;219.91;219.91;219.91;6.41817;6.41817;6.41817;147.83;19.3944;5;
2.816;219.91;219.91;219.91;6.52195;6.52195;6.52195;147.687;19.7798;5;
2.848;219.91;219.91;219.91;6.50249;6.50249;6.50249;147.628;19.7014;5;
2.88;219.91;219.91;219.91;6.50184;6.50184;6.50184;147.661;19.6843;5;
2.912;219.91;219.91;219.91;6.50505;6.50505;6.50505;147.657;19.7006;5;
2.944;219.91;219.91;219.91;6.50411;6.50411;6.50411;147.654;19.6974;5;
2.976;219.91;219.91;219.91;6.50401;6.50401;6.50401;147.655;19.6964;5;
3.008;219.91;219.91;219.91;6.60888;6.60888;6.60888;147.507;20.0833;5;
