
Начало измерений 16:06:41 30.08.2022

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;219.91;219.91;219.91;24.5888;24.5888;24.5888;2.33411;47.4311;20.19;
0.064;219.91;219.91;219.91;24.9413;24.9413;24.9413;15.0847;0.443823;20.19;
0.096;219.91;219.91;219.91;23.4236;23.4236;23.4236;14.8276;38.0605;20.19;
0.128;219.91;219.91;219.91;24.7101;24.7101;24.7101;24.8692;12.5676;20.19;
0.16;219.91;219.91;219.91;22.952;22.952;22.952;33.0133;29.7501;20.19;
0.192;219.91;219.91;219.91;23.0851;23.0851;23.0851;53.6411;27.2627;20.19;
0.224;219.91;219.91;219.91;21.7598;21.7598;21.7598;81.4804;30.8056;20.19;
0.256;219.91;219.91;219.91;16.3874;16.3874;16.3874;124.805;34.2571;20.19;
0.288;219.91;219.91;219.91;7.66952;7.66952;7.66952;147.714;19.5281;20.19;
0.32;219.91;219.91;219.91;6.93563;6.93563;6.93563;147.202;21.1269;20.19;
0.352;219.91;219.91;219.91;6.61763;6.61763;6.61763;147.161;20.1026;20.19;
0.384;219.91;219.91;219.91;6.63608;6.63608;6.63608;147.432;20.1151;20.19;
0.416;219.91;219.91;219.91;6.65414;6.65414;6.65414;147.365;20.2276;20.19;
0.448;219.91;219.91;219.91;6.64423;6.64423;6.64423;147.355;20.1871;20.19;
0.48;219.91;219.91;219.91;6.6451;6.6451;6.6451;147.367;20.1862;20.19;
0.512;219.91;219.91;219.91;6.64606;6.64606;6.64606;147.364;20.1916;20.19;
0.544;219.91;219.91;219.91;6.64562;6.64562;6.64562;147.364;20.1899;20.19;
0.576;219.91;219.91;219.91;6.64565;6.64565;6.64565;147.364;20.1898;20.19;
0.608;219.91;219.91;219.91;6.64569;6.64569;6.64569;147.364;20.1901;20.19;
0.64;219.91;219.91;219.91;6.64567;6.64567;6.64567;147.364;20.19;20.19;
0.672;219.91;219.91;219.91;6.64567;6.64567;6.64567;147.364;20.19;20.19;
0.704;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.736;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.768;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.8;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.832;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.864;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.896;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.928;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.96;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
0.992;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.024;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.056;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.088;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.12;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.152;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.184;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.216;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.248;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.28;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.312;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.344;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.376;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.408;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.44;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.472;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.504;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.536;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.568;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.6;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.632;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.664;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.696;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.728;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.76;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.792;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.824;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.856;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.888;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.92;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.952;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
1.984;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.016;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.048;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.08;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.112;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.144;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.176;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.208;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.24;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.272;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.304;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.336;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.368;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.4;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.432;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.464;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.496;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.528;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.56;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.592;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.624;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.656;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.688;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.72;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.752;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.784;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.816;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
2.848;219.91;219.91;219.91;6.64568;6.64568;6.64568;147.364;20.19;20.19;
