
Начало измерений 23:31:52 09.05.2023

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;219.91;219.91;219.91;0.0111998;0.0111998;0.0111998;-15.9658;0.0404486;5;
0.064;219.91;219.91;219.91;0.00528845;0.00528845;0.00528845;-31.9234;-0.0159796;5;
0.096;219.91;219.91;219.91;0.011922;0.011922;0.011922;-47.8851;0.00818032;5;
0.128;219.91;219.91;219.91;0.0140892;0.0140892;0.0140892;-63.9258;-0.00641681;5;
0.16;219.91;219.91;219.91;0.00273316;0.00273316;0.00273316;-80.0146;-0.0632968;5;
0.192;219.91;219.91;219.91;0.0165928;0.0165928;0.0165928;-96.2013;-0.0563397;5;
0.224;219.91;219.91;219.91;0.00843934;0.00843934;0.00843934;-112.499;-0.118003;5;
0.256;219.91;219.91;219.91;0.0114273;0.0114273;0.0114273;-128.903;-0.151445;5;
0.288;219.91;219.91;219.91;0.0158946;0.0158946;0.0158946;-145.464;-0.186842;5;
0.32;219.91;219.91;219.91;0.00144825;0.00144825;0.00144825;-162.169;-0.260687;5;
0.352;219.91;219.91;219.91;0.0169071;0.0169071;0.0169071;-179.054;-0.295805;5;
0.384;219.91;219.91;219.91;0.00918567;0.00918567;0.00918567;-196.14;-0.375586;5;
0.416;219.91;219.91;219.91;0.0112351;0.0112351;0.0112351;-213.432;-0.443241;5;
0.448;219.91;219.91;219.91;0.0162114;0.0162114;0.0162114;-230.973;-0.512694;5;
0.48;219.91;219.91;219.91;0.00119937;0.00119937;0.00119937;-248.768;-0.613601;5;
0.512;219.91;219.91;219.91;0.0169752;0.0169752;0.0169752;-266.849;-0.690212;5;
0.544;219.91;219.91;219.91;0.00932332;0.00932332;0.00932332;-285.244;-0.802361;5;
0.576;219.91;219.91;219.91;0.0112288;0.0112288;0.0112288;-303.97;-0.909998;5;
0.608;219.91;219.91;219.91;0.0162629;0.0162629;0.0162629;-323.07;-1.02267;5;
0.64;219.91;219.91;219.91;0.00121239;0.00121239;0.00121239;-342.561;-1.1636;5;
0.672;219.91;219.91;219.91;0.0170066;0.0170066;0.0170066;-362.483;-1.29071;5;
0.704;219.91;219.91;219.91;0.00928007;0.00928007;0.00928007;-382.873;-1.45021;5;
0.736;219.91;219.91;219.91;0.011294;0.011294;0.011294;-403.759;-1.61166;5;
0.768;219.91;219.91;219.91;0.0162282;0.0162282;0.0162282;-425.195;-1.78314;5;
0.8;219.91;219.91;219.91;0.00132298;0.00132298;0.00132298;-447.214;-1.98323;5;
0.832;219.91;219.91;219.91;0.0170273;0.0170273;0.0170273;-469.869;-2.17957;5;
0.864;219.91;219.91;219.91;0.00916319;0.00916319;0.00916319;-493.213;-2.40958;5;
0.896;219.91;219.91;219.91;0.0113907;0.0113907;0.0113907;-517.296;-2.64958;5;
0.928;219.91;219.91;219.91;0.0161556;0.0161556;0.0161556;-542.188;-2.90741;5;
0.96;219.91;219.91;219.91;0.00147824;0.00147824;0.00147824;-567.949;-3.19866;5;
0.992;219.91;219.91;219.91;0.0170426;0.0170426;0.0170426;-594.657;-3.49873;5;
1.024;219.91;219.91;219.91;0.00901024;0.00901024;0.00901024;-622.396;-3.8393;5;
1.056;219.91;219.91;219.91;0.0115029;0.0115029;0.0115029;-651.249;-4.20251;5;
1.088;219.91;219.91;219.91;0.0160629;0.0160629;0.0160629;-681.325;-4.59707;5;
1.12;219.91;219.91;219.91;0.00165666;0.00165666;0.00165666;-712.728;-5.03732;5;
1.152;219.91;219.91;219.91;0.0170541;0.0170541;0.0170541;-745.585;-5.50611;5;
1.184;219.91;219.91;219.91;0.00883725;0.00883725;0.00883725;-780.038;-6.03212;5;
1.216;219.91;219.91;219.91;0.0116228;0.0116228;0.0116228;-816.237;-6.60403;5;
1.248;219.91;219.91;219.91;0.0159578;0.0159578;0.0159578;-854.366;-7.23346;5;
1.28;219.91;219.91;219.91;0.00184813;0.00184813;0.00184813;-894.618;-7.93648;5;
1.312;219.91;219.91;219.91;0.0170623;0.0170623;0.0170623;-937.224;-8.70527;5;
1.344;219.91;219.91;219.91;0.00865206;0.00865206;0.00865206;-982.444;-9.57001;5;
1.376;219.91;219.91;219.91;0.0117467;0.0117467;0.0117467;-1030.57;-10.5297;5;
1.408;219.91;219.91;219.91;0.0158445;0.0158445;0.0158445;-1081.96;-11.6045;5;
1.44;219.91;219.91;219.91;0.00204738;0.00204738;0.00204738;-1137;-12.8195;5;
1.472;219.91;219.91;219.91;0.0170675;0.0170675;0.0170675;-1196.16;-14.1842;5;
1.504;219.91;219.91;219.91;0.00845886;0.00845886;0.00845886;-1259.99;-15.742;5;
1.536;219.91;219.91;219.91;0.0118724;0.0118724;0.0118724;-1329.14;-17.5165;5;
1.568;219.91;219.91;219.91;0.0157248;0.0157248;0.0157248;-1404.39;-19.5548;5;
1.6;219.91;219.91;219.91;0.00225147;0.00225147;0.00225147;-1486.65;-21.916;5;
1.632;219.91;219.91;219.91;0.0170696;0.0170696;0.0170696;-1577.06;-24.6594;5;
1.664;219.91;219.91;219.91;0.00826005;0.00826005;0.00826005;-1677;-27.8866;5;
1.696;219.91;219.91;219.91;0.0119986;0.0119986;0.0119986;-1788.17;-31.7058;5;
1.728;219.91;219.91;219.91;0.0156002;0.0156002;0.0156002;-1912.73;-36.2756;5;
1.76;219.91;219.91;219.91;0.00245864;0.00245864;0.00245864;-2053.38;-41.8091;5;
1.792;219.91;219.91;219.91;0.0170689;0.0170689;0.0170689;-2213.64;-48.5874;5;
1.824;219.91;219.91;219.91;0.00805706;0.00805706;0.00805706;-2398.13;-57.0251;5;
1.856;219.91;219.91;219.91;0.0121245;0.0121245;0.0121245;-2613.01;-67.701;5;
1.888;219.91;219.91;219.91;0.0154713;0.0154713;0.0154713;-2866.76;-81.4865;5;
1.92;219.91;219.91;219.91;0.00266786;0.00266786;0.00266786;-3171.29;-99.7188;5;
1.952;219.91;219.91;219.91;0.0170652;0.0170652;0.0170652;-3543.99;-124.53;5;
1.984;219.91;219.91;219.91;0.00785074;0.00785074;0.00785074;-4011.15;-159.521;5;
2.016;219.91;219.91;219.91;0.0122496;0.0122496;0.0122496;-4614.58;-211.12;5;
2.048;219.91;219.91;219.91;0.0153384;0.0153384;0.0153384;-5425.07;-291.779;5;
2.08;219.91;219.91;219.91;0.00287853;0.00287853;0.00287853;-6572.65;-428.246;5;
2.112;219.91;219.91;219.91;0.0170585;0.0170585;0.0170585;-8325.02;-686.965;5;
2.144;219.91;219.91;219.91;0.00764154;0.00764154;0.00764154;-11335.4;-1273.37;5;
2.176;219.91;219.91;219.91;0.0123737;0.0123737;0.0123737;-17726.5;-3112.8;5;
2.208;219.91;219.91;219.91;0.0152018;0.0152018;0.0152018;-40525.3;-16245.5;5;
2.24;219.91;219.91;219.91;nan;nan;nan;nan;nan;5;
2.272;219.91;219.91;219.91;nan;nan;nan;nan;nan;5;
2.304;219.91;219.91;219.91;nan;nan;nan;nan;nan;5;
2.336;219.91;219.91;219.91;nan;nan;nan;nan;nan;5;
