
Начало измерений 15:23:17 30.08.2022

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;219.91;219.91;219.91;24.5436;24.5436;24.5436;2.82636;34.0763;20;
0.064;219.91;219.91;219.91;24.9578;24.9578;24.9578;16.6381;-1.43097;20;
0.096;219.91;219.91;219.91;23.3295;23.3295;23.3295;16.5301;35.2344;20;
0.128;219.91;219.91;219.91;24.6075;24.6075;24.6075;29.3513;13.0624;20;
0.16;219.91;219.91;219.91;22.9169;22.9169;22.9169;39.1471;27.1857;20;
0.192;219.91;219.91;219.91;22.204;22.204;22.204;64.1366;29.7964;20;
0.224;219.91;219.91;219.91;20.0089;20.0089;20.0089;100.33;33.758;20;
0.256;219.91;219.91;219.91;11.7024;11.7024;11.7024;142.829;27.8418;20;
0.288;219.91;219.91;219.91;6.66358;6.66358;6.66358;146.268;19.2985;20;
0.32;219.91;219.91;219.91;6.52249;6.52249;6.52249;147.959;19.352;20;
0.352;219.91;219.91;219.91;6.57606;6.57606;6.57606;147.588;19.8752;20;
0.384;219.91;219.91;219.91;6.51981;6.51981;6.51981;147.557;19.6428;20;
0.416;219.91;219.91;219.91;6.52641;6.52641;6.52641;147.622;19.6485;20;
0.448;219.91;219.91;219.91;6.53103;6.53103;6.53103;147.604;19.6765;20;
0.48;219.91;219.91;219.91;6.52856;6.52856;6.52856;147.602;19.6663;20;
0.512;219.91;219.91;219.91;6.52878;6.52878;6.52878;147.605;19.6661;20;
0.544;219.91;219.91;219.91;6.52903;6.52903;6.52903;147.604;19.6675;20;
0.576;219.91;219.91;219.91;6.52892;6.52892;6.52892;147.604;19.6671;20;
0.608;219.91;219.91;219.91;6.52892;6.52892;6.52892;147.604;19.667;20;
0.64;219.91;219.91;219.91;6.52894;6.52894;6.52894;147.604;19.6671;20;
0.672;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.704;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.736;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.768;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.8;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.832;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.864;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.896;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.928;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.96;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
0.992;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.024;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.056;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.088;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.12;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.152;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.184;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.216;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.248;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.28;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.312;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.344;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.376;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.408;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.44;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.472;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.504;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.536;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.568;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.6;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.632;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
1.664;219.91;219.91;219.91;6.52893;6.52893;6.52893;147.604;19.6671;20;
