
Начало измерений 02:30:29 16.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;33.3197;33.3197;33.3197;7.72056;7.72056;7.72056;6.53256;6.10623;5;
0.384;142.164;142.164;142.164;18.9706;18.9706;18.9706;85.6556;21.0723;5;
0.416;204.361;204.361;204.361;34.6502;34.6502;34.6502;65.2947;-24.6729;5;
0.448;219.91;219.91;219.91;31.9119;31.9119;31.9119;90.7767;0.347824;5;
0.48;219.91;219.91;219.91;9.24259;9.24259;9.24259;167.479;12.1898;5;
0.512;219.91;219.91;219.91;3.09702;3.09702;3.09702;150.174;4.73474;5;
0.544;219.91;219.91;219.91;3.65651;3.65651;3.65651;156.783;-4.16769;5;
0.576;219.91;219.91;219.91;3.23984;3.23984;3.23984;158.213;0.126285;5;
0.608;219.91;219.91;219.91;3.09976;3.09976;3.09976;156.607;0.79527;5;
0.64;219.91;219.91;219.91;3.17128;3.17128;3.17128;156.717;-0.214619;5;
0.672;219.91;219.91;219.91;3.17912;3.17912;3.17912;157.007;-0.105388;5;
0.704;219.91;219.91;219.91;3.16165;3.16165;3.16165;156.916;0.067494;5;
0.736;219.91;219.91;219.91;3.16408;3.16408;3.16408;156.881;0.00460851;5;
0.768;219.91;219.91;219.91;3.16691;3.16691;3.16691;156.907;-0.0143862;5;
0.8;219.91;219.91;219.91;3.16371;3.16371;3.16371;156.788;0.773256;5;
0.832;219.91;219.91;219.91;4.72007;4.72007;4.72007;154.094;13.0392;5;
0.864;219.91;219.91;219.91;4.96827;4.96827;4.96827;150.521;14.4158;5;
0.896;219.91;219.91;219.91;5.78436;5.78436;5.78436;149.628;17.2142;5;
0.928;219.91;219.91;219.91;6.26888;6.26888;6.26888;148.364;19.0534;5;
0.96;219.91;219.91;219.91;6.44654;6.44654;6.44654;147.791;19.5873;5;
0.992;219.91;219.91;219.91;6.4051;6.4051;6.4051;147.797;19.351;5;
1.024;219.91;219.91;219.91;6.52095;6.52095;6.52095;147.705;19.768;5;
1.056;219.91;219.91;219.91;6.60908;6.60908;6.60908;147.479;20.0968;5;
1.088;219.91;219.91;219.91;6.58631;6.58631;6.58631;147.454;19.9897;5;
1.12;219.91;219.91;219.91;6.58948;6.58948;6.58948;147.485;19.9905;5;
1.152;219.91;219.91;219.91;6.59186;6.59186;6.59186;147.477;20.0044;5;
1.184;219.91;219.91;219.91;6.59071;6.59071;6.59071;147.476;19.9997;5;
1.216;219.91;219.91;219.91;6.59079;6.59079;6.59079;147.477;19.9995;5;
1.248;219.91;219.91;219.91;6.59092;6.59092;6.59092;147.477;20.0002;5;
1.28;219.91;219.91;219.91;6.59086;6.59086;6.59086;147.477;20;5;
1.312;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.344;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.376;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.408;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.44;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.472;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.504;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.536;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.568;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.6;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.632;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.664;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.696;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.728;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.76;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.792;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.824;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.856;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.888;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.92;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.952;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;
1.984;219.91;219.91;219.91;6.59087;6.59087;6.59087;147.477;20;5;

Начало измерений 02:33:16 16.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;166.599;166.599;166.599;23.8391;23.8391;23.8391;18.03;-0.974305;5;
0.064;166.599;166.599;166.599;23.0117;23.0117;23.0117;33.0298;14.4381;5;
0.096;166.599;166.599;166.599;20.2824;20.2824;20.2824;65.6912;27.145;5;
0.128;166.599;166.599;166.599;12.8068;12.8068;12.8068;102.4;30.0542;5;
0.16;166.599;166.599;166.599;6.80151;6.80151;6.80151;106.972;19.5741;5;
0.192;166.599;166.599;166.599;6.71408;6.71408;6.71408;109.776;19.5906;5;
0.224;166.599;166.599;166.599;6.76176;6.76176;6.76176;108.811;20.5529;5;
0.256;166.599;166.599;166.599;6.60315;6.60315;6.60315;108.898;19.7604;5;
0.288;166.599;166.599;166.599;6.67777;6.67777;6.67777;109.118;20.0106;5;
0.32;166.599;166.599;166.599;6.669;6.669;6.669;108.952;20.0577;5;
0.352;166.599;166.599;166.599;6.65439;6.65439;6.65439;109.003;19.9592;5;
0.384;166.599;166.599;166.599;6.66629;6.66629;6.66629;109.014;20.0113;5;
0.416;166.599;166.599;166.599;6.66236;6.66236;6.66236;108.993;20.0035;5;
0.448;166.599;166.599;166.599;6.66174;6.66174;6.66174;109.004;19.9947;5;
0.48;166.599;166.599;166.599;6.6632;6.6632;6.6632;109.002;20.0026;5;
0.512;166.599;166.599;166.599;6.66241;6.66241;6.66241;109.001;19.9997;5;
0.544;166.599;166.599;166.599;6.66254;6.66254;6.66254;109.002;19.9995;5;
