
Начало измерений 02:03:56 24.08.2022

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;
0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
1;10.9754;12.6336;14.7053;12.1958;14.7053;13.529;14.7053;14.7053;13.529;12.3526;12.1958;13.9016;13.9016;11.9508;11.9508;12.9262;12.4385;
2;11.9033;15.1388;19.226;14.3055;19.226;16.9195;19.226;19.226;16.9195;14.613;14.3055;17.613;17.613;13.8065;13.8065;15.7098;14.7581;
3;12.7858;17.5218;23.5695;16.3325;23.5695;20.1772;23.5695;23.5695;20.1772;16.7848;16.3325;21.1434;21.1434;15.5717;15.5717;18.3575;16.9646;
4;13.6254;19.7885;27.7427;18.2799;27.7427;23.3071;27.7427;27.7427;23.3071;18.8714;18.2799;24.5015;24.5015;17.2508;17.2508;20.8762;19.0635;
5;14.424;21.9448;31.7523;20.1511;31.7523;26.3142;31.7523;31.7523;26.3142;20.8762;20.1511;27.6959;27.6959;18.848;18.848;23.272;21.06;
6;15.1836;23.9958;35.6047;21.9488;35.6047;29.2035;35.6047;35.6047;29.2035;22.8023;21.9488;30.7345;30.7345;20.3673;20.3673;25.5509;22.9591;
7;15.9062;25.9468;39.306;23.6761;39.306;31.9795;39.306;39.306;31.9795;24.653;23.6761;33.625;33.625;21.8125;21.8125;27.7187;24.7656;
8;16.5936;27.8027;42.8621;25.3357;42.8621;34.6466;42.8621;42.8621;34.6466;26.4311;25.3357;36.3744;36.3744;23.1872;23.1872;29.7808;26.484;
9;17.2474;29.5681;46.2788;26.9301;46.2788;37.2091;46.2788;46.2788;37.2091;28.1394;26.9301;38.9897;38.9897;24.4949;24.4949;31.7423;28.1186;
10;17.8694;31.2473;49.5616;28.4621;49.5616;39.6712;49.5616;49.5616;39.6712;29.7808;28.4621;41.4775;41.4775;25.7388;25.7388;33.6082;29.6735;
11;18.461;32.8447;52.7156;29.934;52.7156;42.0367;52.7156;52.7156;42.0367;31.3578;29.934;43.844;43.844;26.922;26.922;35.383;31.1525;
12;19.0238;34.3642;55.746;31.3481;55.746;44.3095;55.746;55.746;44.3095;32.873;31.3481;46.0951;46.0951;28.0475;28.0475;37.0713;32.5594;
13;19.5591;35.8095;58.6575;32.7068;58.6575;46.4932;58.6575;58.6575;46.4932;34.3288;32.7068;48.2363;48.2363;29.1182;29.1182;38.6773;33.8977;
14;20.0683;37.1844;61.4549;34.0123;61.4549;48.5912;61.4549;61.4549;48.5912;35.7275;34.0123;50.2732;50.2732;30.1366;30.1366;40.2049;35.1707;
15;20.5527;38.4922;64.1426;35.2665;64.1426;50.607;64.1426;64.1426;50.607;37.0713;35.2665;52.2107;52.2107;31.1053;31.1053;41.658;36.3817;
16;21.0134;39.7362;66.7249;36.4716;66.7249;52.5437;66.7249;66.7249;52.5437;38.3625;36.4716;54.0537;54.0537;32.0268;32.0268;43.0403;37.5336;
17;21.4517;40.9196;69.206;37.6294;69.206;54.4045;69.206;69.206;54.4045;39.603;37.6294;55.8068;55.8068;32.9034;32.9034;44.3551;38.6293;
18;21.8686;42.0452;71.5897;38.7419;71.5897;56.1923;71.5897;71.5897;56.1923;40.7949;38.7419;57.4744;57.4744;33.7372;33.7372;45.6058;39.6715;
19;22.2652;43.116;73.88;39.8107;73.88;57.91;73.88;73.88;57.91;41.94;39.8107;59.0607;59.0607;34.5304;34.5304;46.7955;40.6629;
20;22.6424;44.1345;76.0805;40.8376;76.0805;59.5604;76.0805;76.0805;59.5604;43.0403;40.8376;60.5696;60.5696;35.2848;35.2848;47.9272;41.606;
21;23.0012;45.1034;78.1947;41.8242;78.1947;61.1461;78.1947;78.1947;61.1461;44.0974;41.8242;62.005;62.005;36.0025;36.0025;49.0037;42.5031;
22;23.3426;46.025;80.2261;42.7722;80.2261;62.6695;80.2261;80.2261;62.6695;45.113;42.7722;63.3703;63.3703;36.6852;36.6852;50.0277;43.3564;
23;23.6673;46.9016;82.1777;43.6829;82.1777;64.1333;82.1777;82.1777;64.1333;46.0889;43.6829;64.6691;64.6691;37.3345;37.3345;51.0018;44.1682;
24;23.9761;47.7355;84.0529;44.558;84.0529;65.5396;84.0529;84.0529;65.5396;47.0264;44.558;65.9045;65.9045;37.9522;37.9522;51.9283;44.9403;
25;24.2699;48.5287;85.8545;45.3988;85.8545;66.8909;85.8545;85.8545;66.8909;47.9272;45.3988;67.0796;67.0796;38.5398;38.5398;52.8097;45.6748;
26;24.5494;49.2833;87.5854;46.2065;87.5854;68.1891;87.5854;87.5854;68.1891;48.7927;46.2065;68.1975;68.1975;39.0987;39.0987;53.6481;46.3734;
27;24.8152;50.001;89.2485;46.9827;89.2485;69.4364;89.2485;89.2485;69.4364;49.6243;46.9827;69.2608;69.2608;39.6304;39.6304;54.4456;47.038;
28;25.0681;50.6838;90.8464;47.7283;90.8464;70.6348;90.8464;90.8464;70.6348;50.4232;47.7283;70.2722;70.2722;40.1361;40.1361;55.2042;47.6702;
