
Начало измерений 02:46:11 26.08.2022

Канал №1 - Активное сопротивление фазы ротора
Канал №2 - Индуктивность фазы статора
Канал №3 - Индуктивность фазы ротора
Канал №2 - Индуктивность взаимоиндукции

Время;Канал №1;Канал №2;Канал №3;Канал №4;
0;nan;nan;nan;nan;
0.881;nan;nan;nan;nan;
1.807;nan;nan;nan;nan;
2.754;nan;nan;nan;nan;
3.758;nan;nan;nan;nan;
4.754;nan;nan;nan;nan;
5.755;nan;nan;nan;nan;
6.762;nan;nan;nan;nan;
7.77;nan;nan;nan;nan;
8.756;nan;nan;nan;nan;
9.757;nan;nan;nan;nan;
10.756;nan;nan;nan;nan;
11.767;nan;nan;nan;nan;
12.76;nan;nan;nan;nan;
13.759;nan;nan;nan;nan;
