
Начало измерений 14:56:54 06.07.2022

Канал №1 - Активное сопротивление фазы ротора
Канал №2 - Индуктивность фазы статора
Канал №3 - Индуктивность фазы ротора
Канал №2 - Индуктивность взаимоиндукции

Время;Канал №1;Канал №2;Канал №3;Канал №4;
9.838;2.0723;0.221032;0.221032;0.208135;
1.031;2.0723;0.221032;0.221032;0.208135;
1.925;2.0723;0.221032;0.221032;0.208135;
