
Начало измерений 00:31:43 17.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;0;0;0;0;0;0;0;0;5;
0.416;0;0;0;0;0;0;0;0;5;
0.448;0;0;0;0;0;0;0;0;5;
0.48;0;0;0;0;0;0;0;0;5;
0.512;0;0;0;0;0;0;0;0;5;
0.544;0;0;0;0;0;0;0;0;5;
0.576;0;0;0;0;0;0;0;0;5;
0.608;0;0;0;0;0;0;0;0;5;
0.64;0;0;0;0;0;0;0;0;5;
0.672;0;0;0;0;0;0;0;0;5;
0.704;0;0;0;0;0;0;0;0;5;
0.736;0;0;0;0;0;0;0;0;5;
0.768;0;0;0;0;0;0;0;0;5;
0.8;0;0;0;0;0;0;0;0;5;
0.832;0;0;0;0;0;0;0;0;5;
0.864;0;0;0;0;0;0;0;0;5;
0.896;0;0;0;0;0;0;0;0;5;
0.928;0;0;0;0;0;0;0;0;5;
0.96;0;0;0;0;0;0;0;0;5;
0.992;0;0;0;0;0;0;0;0;5;
1.024;0;0;0;0;0;0;0;0;5;
1.056;0;0;0;0;0;0;0;0;5;
1.088;0;0;0;0;0;0;0;0;5;
1.12;0;0;0;0;0;0;0;0;5;
1.152;0;0;0;0;0;0;0;0;5;
1.184;0;0;0;0;0;0;0;0;5;
1.216;8.88526;8.88526;8.88526;2.22904;2.22904;2.22904;0.151766;0.168436;5;
1.248;93.2952;93.2952;93.2952;10.4719;10.4719;10.4719;48.8969;23.7543;5;
1.28;159.935;159.935;159.935;9.01219;9.01219;9.01219;135.566;23.1404;5;
1.312;219.91;219.91;219.91;32.6038;32.6038;32.6038;38.5168;-38.5218;5;
1.344;219.91;219.91;219.91;16.5479;16.5479;16.5479;94.1629;23.7168;5;
1.376;219.91;219.91;219.91;7.00707;7.00707;7.00707;168.311;-7.08676;5;
1.408;219.91;219.91;219.91;3.45003;3.45003;3.45003;156.1;7.73549;5;
1.44;219.91;219.91;219.91;3.13804;3.13804;3.13804;154.695;-0.751308;5;
1.472;219.91;219.91;219.91;3.31666;3.31666;3.31666;157.574;-1.32143;5;
1.504;219.91;219.91;219.91;3.15115;3.15115;3.15115;157.177;0.468217;5;
1.536;219.91;219.91;219.91;3.14444;3.14444;3.14444;156.707;0.147612;5;
1.568;219.91;219.91;219.91;3.17457;3.17457;3.17457;156.897;-0.127251;5;
1.6;219.91;219.91;219.91;3.16789;3.16789;3.16789;156.945;0.00132685;5;
1.632;219.91;219.91;219.91;3.16348;3.16348;3.16348;156.896;0.0247374;5;
1.664;219.91;219.91;219.91;3.16581;3.16581;3.16581;156.898;-0.00617242;5;
1.696;219.91;219.91;219.91;6.27112;6.27112;6.27112;152.398;19.2763;5;
1.728;219.91;219.91;219.91;8.48396;8.48396;8.48396;144.19;27.04;5;
1.76;219.91;219.91;219.91;10.0191;10.0191;10.0191;140.212;30.6196;5;
1.792;219.91;219.91;219.91;9.9129;9.9129;9.9129;140.054;29.8413;5;
1.824;219.91;219.91;219.91;9.99052;9.99052;9.99052;140.134;29.98;5;
1.856;219.91;219.91;219.91;9.99632;9.99632;9.99632;140.081;30.0122;5;
1.888;219.91;219.91;219.91;9.99308;9.99308;9.99308;140.085;29.9969;5;
1.92;219.91;219.91;219.91;9.99427;9.99427;9.99427;140.087;30;5;
1.952;219.91;219.91;219.91;9.99422;9.99422;9.99422;140.086;30.0002;5;
1.984;219.91;219.91;219.91;9.99417;9.99417;9.99417;140.086;29.9999;5;
2.016;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.048;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.08;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.112;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.144;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.176;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.208;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.24;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.272;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.304;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.336;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.368;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.4;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.432;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.464;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.496;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.528;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.56;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.592;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.624;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.656;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.688;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.72;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.752;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
2.784;219.91;219.91;219.91;9.99419;9.99419;9.99419;140.086;30;5;
