
Начало измерений 05:39:06 19.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;0;0;0;0;0;0;0;0;5;
0.416;0;0;0;0;0;0;0;0;5;
0.448;0;0;0;0;0;0;0;0;5;
0.48;0;0;0;0;0;0;0;0;5;
0.512;42.205;42.205;42.205;9.12576;9.12576;9.12576;11.7825;9.91462;5;
0.544;193.254;193.254;193.254;35.2785;35.2785;35.2785;60.8847;-30.8925;5;
0.576;219.91;219.91;219.91;22.0163;22.0163;22.0163;136.577;38.0704;5;
0.608;219.91;219.91;219.91;5.54754;5.54754;5.54754;154.6;-9.54885;5;
0.64;219.91;219.91;219.91;3.50335;3.50335;3.50335;160.172;-0.515221;5;
0.672;219.91;219.91;219.91;3.04673;3.04673;3.04673;156.411;2.03314;5;
0.704;219.91;219.91;219.91;3.16699;3.16699;3.16699;156.374;-0.382479;5;
0.736;219.91;219.91;219.91;3.20128;3.20128;3.20128;157.126;-0.308723;5;
0.768;219.91;219.91;219.91;3.15826;3.15826;3.15826;156.955;0.149405;5;
0.8;219.91;219.91;219.91;3.16079;3.16079;3.16079;156.848;0.0250176;5;
0.832;219.91;219.91;219.91;3.23976;3.23976;3.23976;156.409;3.05124;5;
0.864;219.91;219.91;219.91;5.61997;5.61997;5.61997;152.378;16.9285;5;
0.896;219.91;219.91;219.91;5.85081;5.85081;5.85081;148.559;17.9381;5;
0.928;219.91;219.91;219.91;6.05644;6.05644;6.05644;148.572;18.1043;5;
0.96;219.91;219.91;219.91;6.28831;6.28831;6.28831;148.257;18.9759;5;
0.992;219.91;219.91;219.91;6.5553;6.5553;6.5553;147.687;19.96;5;
1.024;219.91;219.91;219.91;6.70402;6.70402;6.70402;147.289;20.4522;5;
1.056;219.91;219.91;219.91;6.67006;6.67006;6.67006;147.265;20.2808;5;
1.088;219.91;219.91;219.91;6.67678;6.67678;6.67678;147.31;20.2906;5;
1.12;219.91;219.91;219.91;6.67993;6.67993;6.67993;147.296;20.3099;5;
1.152;219.91;219.91;219.91;6.67813;6.67813;6.67813;147.295;20.3023;5;
1.184;219.91;219.91;219.91;6.67834;6.67834;6.67834;147.297;20.3024;5;
1.216;219.91;219.91;219.91;6.6785;6.6785;6.6785;147.297;20.3033;5;
1.248;219.91;219.91;219.91;6.67842;6.67842;6.67842;147.296;20.303;5;
1.28;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.312;219.91;219.91;219.91;6.67844;6.67844;6.67844;147.297;20.303;5;
1.344;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.376;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.408;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.44;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.472;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.504;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.536;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.568;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.6;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.632;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.664;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.696;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.728;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.76;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.792;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.824;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.856;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.888;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.92;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.952;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.984;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.016;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.048;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.08;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.112;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.144;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.176;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.208;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.24;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.272;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.304;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.336;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.368;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.4;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.432;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.464;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.496;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.528;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.56;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.592;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.624;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.656;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.688;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.72;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.752;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.784;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
