
Начало измерений 03:24:04 11.07.2022

Канал №1 - Активное сопротивление фазы ротора
Канал №2 - Индуктивность фазы статора
Канал №3 - Индуктивность фазы ротора
Канал №2 - Индуктивность взаимоиндукции

Время;Канал №1;Канал №2;Канал №3;Канал №4;
0;nan;nan;nan;nan;
0.863;nan;nan;nan;nan;
1.845;nan;nan;nan;nan;
2.85;nan;nan;nan;nan;
3.851;nan;nan;nan;nan;
4.843;nan;nan;nan;nan;
5.848;nan;nan;nan;nan;
6.856;nan;nan;nan;nan;
7.846;nan;nan;nan;nan;
8.844;nan;nan;nan;nan;
9.843;nan;nan;nan;nan;
10.849;nan;nan;nan;nan;
11.843;nan;nan;nan;nan;
12.845;nan;nan;nan;nan;
