
Начало измерений 02:57:21 19.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;0;0;0;0;0;0;0;0;5;
0.384;0;0;0;0;0;0;0;0;5;
0.416;0;0;0;0;0;0;0;0;5;
0.448;0;0;0;0;0;0;0;0;5;
0.48;0;0;0;0;0;0;0;0;5;
0.512;44.4263;44.4263;44.4263;9.40276;9.40276;9.40276;13.3018;10.8704;5;
0.544;182.148;182.148;182.148;14.903;14.903;14.903;135.591;14.9674;5;
0.576;199.918;199.918;199.918;5.03981;5.03981;5.03981;136.582;3.23064;5;
0.608;219.91;219.91;219.91;26.0924;26.0924;26.0924;-11.3738;13.1744;5;
0.64;219.91;219.91;219.91;21.2424;21.2424;21.2424;63.6779;30.7535;5;
0.672;219.91;219.91;219.91;21.7835;21.7835;21.7835;127.372;36.8579;5;
0.704;219.91;219.91;219.91;5.96959;5.96959;5.96959;157.744;-10.0115;5;
0.736;219.91;219.91;219.91;3.37282;3.37282;3.37282;159.644;1.48584;5;
0.768;219.91;219.91;219.91;3.0316;3.0316;3.0316;155.912;1.62652;5;
0.8;219.91;219.91;219.91;3.2028;3.2028;3.2028;156.596;-0.671846;5;
0.832;219.91;219.91;219.91;3.19266;3.19266;3.19266;157.172;-0.160183;5;
0.864;219.91;219.91;219.91;3.1537;3.1537;3.1537;156.901;0.170911;5;
0.896;219.91;219.91;219.91;3.16347;3.16347;3.16347;156.852;-0.00934425;5;
0.928;219.91;219.91;219.91;3.16868;3.16868;3.16868;156.917;-0.0314071;5;
0.96;219.91;219.91;219.91;3.16544;3.16544;3.16544;156.911;0.00934571;5;
0.992;219.91;219.91;219.91;3.16518;3.16518;3.16518;156.9;0.00394917;5;
1.024;219.91;219.91;219.91;3.16588;3.16588;3.16588;156.904;-0.00278341;5;
1.056;219.91;219.91;219.91;3.16577;3.16577;3.16577;156.905;-0.000112293;5;
1.088;219.91;219.91;219.91;3.16566;3.16566;3.16566;156.904;0.000574776;5;
1.12;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-0.000115248;5;
1.152;219.91;219.91;219.91;3.16572;3.16572;3.16572;156.904;-8.5609e-05;5;
1.184;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;4.31454e-05;5;
1.216;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;6.54247e-06;5;
1.248;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.0057e-05;5;
1.28;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.11536e-06;5;
1.312;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.71327e-06;5;
1.344;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-6.28985e-07;5;
1.376;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.86964e-07;5;
1.408;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.685e-07;5;
1.44;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.46112e-09;5;
1.472;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.23432e-08;5;
1.504;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;8.41039e-09;5;
1.536;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.35856e-09;5;
1.568;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.69698e-09;5;
1.6;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.13844e-10;5;
1.632;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;5.82094e-10;5;
1.664;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-9.50101e-11;5;
1.696;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-8.8076e-11;5;
1.728;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.97504e-11;5;
1.76;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;8.68033e-12;5;
1.792;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.17224e-11;5;
1.824;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.76887e-12;5;
1.856;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.0799e-12;5;
1.888;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-6.18708e-12;5;
1.92;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-8.20838e-12;5;
1.952;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-7.15258e-12;5;
1.984;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.16139e-12;5;
2.016;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.54367e-12;5;
2.048;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.1154e-12;5;
2.08;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-7.25606e-12;5;
2.112;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.31691e-12;5;
2.144;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.24048e-12;5;
2.176;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-6.71907e-13;5;
2.208;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.85175e-12;5;
2.24;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-5.17461e-12;5;
2.272;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.4279e-12;5;
2.304;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.532e-12;5;
2.336;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-5.08593e-13;5;
2.368;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.93326e-12;5;
2.4;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-5.08119e-12;5;
2.432;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.52322e-12;5;
2.464;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.15585e-12;5;
2.496;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-6.27026e-13;5;
2.528;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.7878e-12;5;
2.56;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.93008e-12;5;
2.592;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.39246e-12;5;
