
Начало измерений 02:23:27 16.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;0;0;0;0;0;0;0;0;5;
0.288;0;0;0;0;0;0;0;0;5;
0.32;0;0;0;0;0;0;0;0;5;
0.352;73.3034;73.3034;73.3034;10.0403;10.0403;10.0403;36.9155;19.3656;5;
0.384;97.7379;97.7379;97.7379;2.42855;2.42855;2.42855;68.9234;8.71848;5;
0.416;104.402;104.402;104.402;4.25879;4.25879;4.25879;53.6483;-5.01908;5;
0.448;131.058;131.058;131.058;23.4503;23.4503;23.4503;34.7979;-27.1608;5;
0.48;131.058;131.058;131.058;9.60053;9.60053;9.60053;72.4592;28.2193;5;
0.512;131.058;131.058;131.058;13.9755;13.9755;13.9755;104.981;-34.057;5;
0.544;146.607;146.607;146.607;25.7496;25.7496;25.7496;71.8031;7.25023;5;
0.576;166.599;166.599;166.599;20.0464;20.0464;20.0464;101.339;35.1075;5;
0.608;166.599;166.599;166.599;7.56339;7.56339;7.56339;109.971;-16.9271;5;
0.64;166.599;166.599;166.599;4.0388;4.0388;4.0388;129.042;1.44682;5;
0.672;166.599;166.599;166.599;2.73403;2.73403;2.73403;114.682;6.82062;5;
0.704;166.599;166.599;166.599;3.95154;3.95154;3.95154;117.477;-5.04957;5;
0.736;166.599;166.599;166.599;3.28379;3.28379;3.28379;121.565;0.434651;5;
0.768;166.599;166.599;166.599;2.90661;2.90661;2.90661;117.688;1.85133;5;
0.8;166.599;166.599;166.599;3.34182;3.34182;3.34182;118.544;-1.39825;5;
0.832;166.599;166.599;166.599;3.18857;3.18857;3.18857;119.612;0.137832;5;
0.864;166.599;166.599;166.599;3.08599;3.08599;3.08599;118.546;0.499865;5;
0.896;166.599;166.599;166.599;3.21006;3.21006;3.21006;118.8;-0.387451;5;
0.928;166.599;166.599;166.599;3.16963;3.16963;3.16963;119.082;0.0444131;5;
0.96;166.599;166.599;166.599;3.14251;3.14251;3.14251;118.789;0.134271;5;
0.992;166.599;166.599;166.599;3.17681;3.17681;3.17681;118.863;-0.107309;5;
1.024;166.599;166.599;166.599;3.16548;3.16548;3.16548;118.938;0.0141227;5;
1.056;166.599;166.599;166.599;3.15838;3.15838;3.15838;118.857;0.0359754;5;
1.088;166.599;166.599;166.599;3.1678;3.1678;3.1678;118.879;-0.029699;5;
1.12;166.599;166.599;166.599;3.16457;3.16457;3.16457;118.899;0.00441383;5;
1.152;177.705;177.705;177.705;28.4236;28.4236;28.4236;101.865;25.6469;5;
1.184;213.246;213.246;213.246;24.6141;24.6141;24.6141;130.377;42.7121;5;
1.216;219.91;219.91;219.91;12.7311;12.7311;12.7311;170.961;30.2557;5;
1.248;219.91;219.91;219.91;2.94818;2.94818;2.94818;145.107;3.25208;5;
1.28;219.91;219.91;219.91;4.21998;4.21998;4.21998;158.27;-7.14742;5;
1.312;219.91;219.91;219.91;3.22888;3.22888;3.22888;158.818;1.20495;5;
1.344;219.91;219.91;219.91;3.05942;3.05942;3.05942;156.161;1.11644;5;
1.376;219.91;219.91;219.91;3.19357;3.19357;3.19357;156.705;-0.501351;5;
1.408;219.91;219.91;219.91;3.18396;3.18396;3.18396;157.098;-0.100538;5;
1.44;219.91;219.91;219.91;3.15674;3.15674;3.15674;156.897;0.12289;5;
1.472;219.91;219.91;219.91;3.16435;3.16435;3.16435;156.868;-0.00959156;5;
1.504;219.91;219.91;219.91;3.16784;3.16784;3.16784;156.914;-0.0218979;5;
1.536;219.91;219.91;219.91;3.16547;3.16547;3.16547;156.909;0.00712167;5;
1.568;219.91;219.91;219.91;3.16534;3.16534;3.16534;156.901;0.00260879;5;
1.6;219.91;219.91;219.91;3.16584;3.16584;3.16584;156.904;-0.00202533;5;
1.632;219.91;219.91;219.91;3.16574;3.16574;3.16574;156.905;-2.95788e-05;5;
1.664;219.91;219.91;219.91;3.16567;3.16567;3.16567;156.904;0.000405773;5;
1.696;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-9.11442e-05;5;
1.728;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-5.80993e-05;5;
1.76;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;3.18264e-05;5;
1.792;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;3.83182e-06;5;
1.824;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-7.18099e-06;5;
1.856;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;9.61706e-07;5;
1.888;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.18382e-06;5;
1.92;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-4.72218e-07;5;
1.952;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.20201e-07;5;
1.984;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.21685e-07;5;
2.016;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-5.41178e-09;5;
2.048;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.26633e-08;5;
2.08;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.47893e-09;5;
2.112;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.91283e-09;5;
2.144;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.96977e-09;5;
2.176;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.00687e-10;5;
2.208;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.11325e-10;5;
2.24;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-7.89019e-11;5;
2.272;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-6.30769e-11;5;
2.304;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;3.20754e-11;5;
2.336;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.19118e-12;5;
2.368;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-7.01331e-12;5;
2.4;219.91;219.91;219.91;4.12413;4.12413;4.12413;155.032;10.052;5;
2.432;219.91;219.91;219.91;4.68222;4.68222;4.68222;151.605;13.1452;5;
2.464;219.91;219.91;219.91;5.23469;5.23469;5.23469;150.529;15.0863;5;
2.496;219.91;219.91;219.91;6.59592;6.59592;6.59592;148.387;20.3074;5;
2.528;219.91;219.91;219.91;10.3927;10.3927;10.3927;140.866;31.8738;5;
2.56;219.91;219.91;219.91;9.72898;9.72898;9.72898;140.011;29.4953;5;
2.592;219.91;219.91;219.91;9.8498;9.8498;9.8498;140.505;29.5784;5;
