
Начало измерений 23:38:28 09.05.2023

Канал №1 - Cтанина
Канал №2 - Подшипниковый узел справа сзади
Канал №3 - Лобовая часть слева спереди
Канал №4 - Подшипниковый узел слева спереди
Канал №5 - Подшипниковый узел слева спереди
Канал №6 - Лобовая часть слева сзади
Канал №7 - Лобовая часть справа спереди
Канал №8 - Лобовая часть справа сзади
Канал №9 - Магнитопровод статора
Канал №10 - Подшипниковый узел справа спереди
Канал №11 - Подшипниковый узел слева сзади
Канал №12 - Ротор сверху
Канал №13 - Ротор снизу
Канал №14 - Станина слева
Канал №15 - Станина слева
Канал №16 - Вал
Канал №17 - Клеммная коробка

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;Канал №10;Канал №11;Канал №12;Канал №13;Канал №14;Канал №15;Канал №16;Канал №17;
21;33.0012;55.1034;88.1947;51.8242;88.1947;71.1461;88.1947;88.1947;71.1461;54.0974;51.8242;72.005;72.005;46.0025;46.0025;59.0037;52.5031;
22;33.3426;56.025;90.2261;52.7722;90.2261;72.6695;90.2261;90.2261;72.6695;55.113;52.7722;73.3703;73.3703;46.6852;46.6852;60.0277;53.3564;
23;33.6673;56.9016;92.1777;53.6829;92.1777;74.1333;92.1777;92.1777;74.1333;56.0889;53.6829;74.6691;74.6691;47.3345;47.3345;61.0018;54.1682;
24;33.9761;57.7355;94.0529;54.558;94.0529;75.5396;94.0529;94.0529;75.5396;57.0264;54.558;75.9045;75.9045;47.9522;47.9522;61.9283;54.9403;
25;34.2699;58.5287;95.8545;55.3988;95.8545;76.8909;95.8545;95.8545;76.8909;57.9272;55.3988;77.0796;77.0796;48.5398;48.5398;62.8097;55.6748;
26;34.5494;59.2833;97.5854;56.2065;97.5854;78.1891;97.5854;97.5854;78.1891;58.7927;56.2065;78.1975;78.1975;49.0987;49.0987;63.6481;56.3734;
27;34.8152;60.001;99.2485;56.9827;99.2485;79.4364;99.2485;99.2485;79.4364;59.6243;56.9827;79.2608;79.2608;49.6304;49.6304;64.4456;57.038;
28;35.0681;60.6838;100.846;57.7283;100.846;80.6348;100.846;100.846;80.6348;60.4232;57.7283;80.2722;80.2722;50.1361;50.1361;65.2042;57.6702;
29;35.3086;61.3332;102.382;58.4448;102.382;81.7862;102.382;102.382;81.7862;61.1908;58.4448;81.2344;81.2344;50.6172;50.6172;65.9258;58.2715;
30;35.5374;61.951;103.857;59.1331;103.857;82.8925;103.857;103.857;82.8925;61.9283;59.1331;82.1496;82.1496;51.0748;51.0748;66.6122;58.8435;
31;35.755;62.5386;105.274;59.7945;105.274;83.9554;105.274;105.274;83.9554;62.6369;59.7945;83.0202;83.0202;51.5101;51.5101;67.2651;59.3876;
32;35.9621;63.0976;106.636;60.4299;106.636;84.9766;106.636;106.636;84.9766;63.3178;60.4299;83.8483;83.8483;51.9241;51.9241;67.8862;59.9052;
33;36.159;63.6293;107.944;61.0404;107.944;85.9578;107.944;107.944;85.9578;63.9719;61.0404;84.636;84.636;52.318;52.318;68.477;60.3975;
34;36.3463;64.1351;109.201;61.627;109.201;86.9005;109.201;109.201;86.9005;64.6004;61.627;85.3853;85.3853;52.6927;52.6927;69.039;60.8658;
35;36.5245;64.6162;110.408;62.1906;110.408;87.8063;110.408;110.408;87.8063;65.2042;62.1906;86.0981;86.0981;53.049;53.049;69.5736;61.3113;
36;36.694;65.0739;111.569;62.732;111.569;88.6765;111.569;111.569;88.6765;65.7843;62.732;86.7761;86.7761;53.388;53.388;70.0821;61.7351;
37;36.8553;65.5092;112.683;63.2523;112.683;89.5126;112.683;112.683;89.5126;66.3417;63.2523;87.421;87.421;53.7105;53.7105;70.5658;62.1381;
38;37.0086;65.9233;113.755;63.7521;113.755;90.3159;113.755;113.755;90.3159;66.8773;63.7521;88.0345;88.0345;54.0173;54.0173;71.0259;62.5216;
39;37.1545;66.3172;114.784;64.2324;114.784;91.0878;114.784;114.784;91.0878;67.3918;64.2324;88.6181;88.6181;54.309;54.309;71.4636;62.8863;
40;37.2933;66.6919;115.772;64.6938;115.772;91.8293;115.772;115.772;91.8293;67.8862;64.6938;89.1732;89.1732;54.5866;54.5866;71.8799;63.2332;
41;37.4253;67.0483;116.722;65.1371;116.722;92.5418;116.722;116.722;92.5418;68.3612;65.1371;89.7012;89.7012;54.8506;54.8506;72.2759;63.5633;
42;37.5509;67.3874;117.635;65.5631;117.635;93.2263;117.635;117.635;93.2263;68.8176;65.5631;90.2035;90.2035;55.1017;55.1017;72.6526;63.8772;
43;37.6703;67.7099;118.512;65.9723;118.512;93.884;118.512;118.512;93.884;69.256;65.9723;90.6813;90.6813;55.3406;55.3406;73.011;64.1758;
44;37.7839;68.0166;119.355;66.3655;119.355;94.516;119.355;119.355;94.516;69.6773;66.3655;91.1357;91.1357;55.5679;55.5679;73.3518;64.4598;
45;37.892;68.3084;120.164;66.7433;120.164;95.1231;120.164;120.164;95.1231;70.0821;66.7433;91.5681;91.5681;55.784;55.784;73.676;64.73;
46;37.9948;68.586;120.942;67.1062;120.942;95.7064;120.942;120.942;95.7064;70.471;67.1062;91.9793;91.9793;55.9896;55.9896;73.9845;64.9871;
47;38.0926;68.8501;121.689;67.455;121.689;96.2669;121.689;121.689;96.2669;70.8446;67.455;92.3705;92.3705;56.1852;56.1852;74.2779;65.2315;
48;38.1856;69.1012;122.407;67.79;122.407;96.8054;122.407;122.407;96.8054;71.2036;67.79;92.7426;92.7426;56.3713;56.3713;74.5569;65.4641;
49;38.2741;69.3401;123.097;68.1119;123.097;97.3227;123.097;123.097;97.3227;71.5485;68.1119;93.0965;93.0965;56.5483;56.5483;74.8224;65.6853;
50;38.3583;69.5674;123.76;68.4212;123.76;97.8198;123.76;123.76;97.8198;71.8799;68.4212;93.4332;93.4332;56.7166;56.7166;75.0749;65.8958;
51;38.4384;69.7836;124.397;68.7184;124.397;98.2974;124.397;124.397;98.2974;72.1983;68.7184;93.7535;93.7535;56.8767;56.8767;75.3151;66.0959;
52;38.5145;69.9892;125.008;69.0039;125.008;98.7563;125.008;125.008;98.7563;72.5042;69.0039;94.0581;94.0581;57.0291;57.0291;75.5436;66.2863;
53;38.587;70.1848;125.596;69.2782;125.596;99.1972;125.596;125.596;99.1972;72.7981;69.2782;94.3479;94.3479;57.174;57.174;75.7609;66.4674;
54;38.6559;70.3709;126.161;69.5418;126.161;99.6207;126.161;126.161;99.6207;73.0805;69.5418;94.6236;94.6236;57.3118;57.3118;75.9677;66.6397;
55;38.7214;70.5479;126.704;69.795;126.704;100.028;126.704;126.704;100.028;73.3518;69.795;94.8858;94.8858;57.4429;57.4429;76.1643;66.8036;
56;38.7838;70.7163;127.225;70.0383;127.225;100.419;127.225;127.225;100.419;73.6125;70.0383;95.1352;95.1352;57.5676;57.5676;76.3514;66.9595;
57;38.8431;70.8764;127.726;70.2721;127.726;100.794;127.726;127.726;100.794;73.8629;70.2721;95.3725;95.3725;57.6862;57.6862;76.5293;67.1078;
58;38.8995;71.0287;128.207;70.4967;128.207;101.155;128.207;128.207;101.155;74.1036;70.4967;95.5981;95.5981;57.7991;57.7991;76.6986;67.2488;
59;38.9532;71.1737;128.67;70.7125;128.67;101.502;128.67;128.67;101.502;74.3348;70.7125;95.8128;95.8128;57.9064;57.9064;76.8596;67.383;
60;39.0043;71.3115;129.114;70.9198;129.114;101.835;129.114;129.114;101.835;74.5569;70.9198;96.017;96.017;58.0085;58.0085;77.0128;67.5106;
61;39.0528;71.4426;129.541;71.119;129.541;102.156;129.541;129.541;102.156;74.7703;71.119;96.2113;96.2113;58.1056;58.1056;77.1585;67.6321;
62;39.099;71.5673;129.951;71.3104;129.951;102.463;129.951;129.951;102.463;74.9754;71.3104;96.3961;96.3961;58.198;58.198;77.297;67.7475;
63;39.143;71.686;130.345;71.4943;130.345;102.759;130.345;130.345;102.759;75.1724;71.4943;96.5718;96.5718;58.2859;58.2859;77.4289;67.8574;
64;39.1848;71.7988;130.723;71.6709;130.723;103.043;130.723;130.723;103.043;75.3617;71.6709;96.739;96.739;58.3695;58.3695;77.5543;67.9619;
65;39.2245;71.9062;131.087;71.8407;131.087;103.315;131.087;131.087;103.315;75.5436;71.8407;96.8981;96.8981;58.449;58.449;77.6735;68.0613;
66;39.2623;72.0083;131.437;72.0038;131.437;103.577;131.437;131.437;103.577;75.7183;72.0038;97.0493;97.0493;58.5247;58.5247;77.787;68.1558;
67;39.2983;72.1054;131.772;72.1605;131.772;103.829;131.772;131.772;103.829;75.8862;72.1605;97.1933;97.1933;58.5966;58.5966;77.8949;68.2458;
68;39.3325;72.1978;132.095;72.311;132.095;104.071;132.095;132.095;104.071;76.0475;72.311;97.3301;97.3301;58.6651;58.6651;77.9976;68.3313;
