
Начало измерений 02:21:58 16.01.2024

Канал №1 - Напряжение фазы А, В
Канал №2 - Напряжение фазы В, В
Канал №3 - Напряжение фазы С, В
Канал №4 - Ток фазы А, В
Канал №5 - Ток фазы В, В
Канал №6 - Ток фазы С, В
Канал №7 - Частота вращения, рад/с
Канал №8 - Момент на валу, Н*м
Канал №9 - Момент Мс, Н*м

Время;Канал №1;Канал №2;Канал №3;Канал №4;Канал №5;Канал №6;Канал №7;Канал №8;Канал №9;
0.032;0;0;0;0;0;0;0;0;5;
0.064;0;0;0;0;0;0;0;0;5;
0.096;0;0;0;0;0;0;0;0;5;
0.128;0;0;0;0;0;0;0;0;5;
0.16;0;0;0;0;0;0;0;0;5;
0.192;0;0;0;0;0;0;0;0;5;
0.224;0;0;0;0;0;0;0;0;5;
0.256;8.88526;8.88526;8.88526;2.22904;2.22904;2.22904;0.151766;0.168436;5;
0.288;157.713;157.713;157.713;20.3834;20.3834;20.3834;92.2692;28.4141;5;
0.32;219.91;219.91;219.91;10.0995;10.0995;10.0995;157.968;22.7309;5;
0.352;219.91;219.91;219.91;3.30703;3.30703;3.30703;150.579;-0.469359;5;
0.384;219.91;219.91;219.91;3.66631;3.66631;3.66631;158.304;-3.72982;5;
0.416;219.91;219.91;219.91;3.16062;3.16062;3.16062;157.766;1.03773;5;
0.448;219.91;219.91;219.91;3.10705;3.10705;3.10705;156.417;0.484163;5;
0.48;219.91;219.91;219.91;3.1866;3.1866;3.1866;156.85;-0.318683;5;
0.512;219.91;219.91;219.91;3.17324;3.17324;3.17324;157.013;-0.01933;5;
0.544;219.91;219.91;219.91;3.1601;3.1601;3.1601;156.889;0.0673948;5;
0.576;219.91;219.91;219.91;3.16559;3.16559;3.16559;156.886;-0.012301;5;
0.608;219.91;219.91;219.91;3.16685;3.16685;3.16685;156.911;-0.010328;5;
0.64;219.91;219.91;219.91;3.16546;3.16546;3.16546;156.906;0.00488993;5;
0.672;219.91;219.91;219.91;3.16554;3.16554;3.16554;156.902;0.00086455;5;
0.704;219.91;219.91;219.91;3.16579;3.16579;3.16579;156.904;-0.00116921;5;
0.736;219.91;219.91;219.91;3.16572;3.16572;3.16572;156.904;0.000109209;5;
0.768;219.91;219.91;219.91;3.16569;3.16569;3.16569;156.904;0.000204072;5;
0.8;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-7.02654e-05;5;
0.832;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-2.3382e-05;5;
0.864;219.91;219.91;219.91;3.1657;3.1657;3.1657;156.904;1.94199e-05;5;
0.896;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.78011e-08;5;
0.928;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.81394e-06;5;
0.96;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;9.18855e-07;5;
0.992;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;5.3123e-07;5;
1.024;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.07828e-07;5;
1.056;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-3.10157e-08;5;
1.088;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.80108e-08;5;
1.12;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.01486e-08;5;
1.152;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.09639e-08;5;
1.184;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;4.61717e-09;5;
1.216;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;1.05356e-09;5;
1.248;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-1.16322e-09;5;
1.28;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;6.92659e-11;5;
1.312;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;2.13246e-10;5;
1.344;219.91;219.91;219.91;3.16571;3.16571;3.16571;156.904;-6.25131e-11;5;
1.376;219.91;219.91;219.91;3.43434;3.43434;3.43434;155.991;5.40628;5;
1.408;219.91;219.91;219.91;5.50986;5.50986;5.50986;151.867;16.5724;5;
1.44;219.91;219.91;219.91;5.53356;5.53356;5.53356;149.129;16.5707;5;
1.472;219.91;219.91;219.91;5.74255;5.74255;5.74255;149.298;16.8899;5;
1.504;219.91;219.91;219.91;6.26525;6.26525;6.26525;148.52;18.9569;5;
1.536;219.91;219.91;219.91;6.36023;6.36023;6.36023;147.919;19.2845;5;
1.568;219.91;219.91;219.91;6.62892;6.62892;6.62892;147.546;20.1874;5;
1.6;219.91;219.91;219.91;6.69178;6.69178;6.69178;147.267;20.3925;5;
1.632;219.91;219.91;219.91;6.67161;6.67161;6.67161;147.283;20.2791;5;
1.664;219.91;219.91;219.91;6.67833;6.67833;6.67833;147.306;20.2991;5;
1.696;219.91;219.91;219.91;6.67927;6.67927;6.67927;147.295;20.3073;5;
1.728;219.91;219.91;219.91;6.67816;6.67816;6.67816;147.296;20.3021;5;
1.76;219.91;219.91;219.91;6.67842;6.67842;6.67842;147.297;20.3028;5;
1.792;219.91;219.91;219.91;6.67847;6.67847;6.67847;147.297;20.3032;5;
1.824;219.91;219.91;219.91;6.67842;6.67842;6.67842;147.297;20.303;5;
1.856;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.888;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.92;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.952;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
1.984;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.016;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.048;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.08;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.112;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.144;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.176;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.208;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.24;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.272;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.304;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.336;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.368;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.4;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.432;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.464;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.496;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.528;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.56;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
2.592;219.91;219.91;219.91;6.67843;6.67843;6.67843;147.297;20.303;5;
